epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,5364.42,0.79781,0.33571,0.98032,0.97797,0.94298,0.95897,0.71435,0.94227,0.35151,1.02951,5.2e-05,5.2e-05,5.2e-05
42,5487.98,0.7887,0.33058,0.97616,0.98249,0.9414,0.95865,0.71245,0.94632,0.35157,1.03827,4.705e-05,4.705e-05,4.705e-05
43,5607.28,0.78188,0.32679,0.97349,0.98038,0.94747,0.95798,0.71187,0.94334,0.34934,1.03781,4.21e-05,4.21e-05,4.21e-05
44,5726.09,0.77628,0.3238,0.97111,0.98617,0.9362,0.96006,0.71049,0.94772,0.34946,1.03714,3.715e-05,3.715e-05,3.715e-05
45,5847.03,0.77204,0.32165,0.96911,0.96971,0.9524,0.95999,0.71048,0.94953,0.34887,1.03422,3.22e-05,3.22e-05,3.22e-05
46,5966.08,0.76724,0.31944,0.96713,0.98077,0.94284,0.95978,0.71368,0.94632,0.34773,1.03533,2.725e-05,2.725e-05,2.725e-05
47,6085.25,0.76114,0.31718,0.96589,0.98316,0.94091,0.95868,0.71097,0.95083,0.34881,1.03936,2.23e-05,2.23e-05,2.23e-05
48,6202.7,0.7583,0.31574,0.96523,0.97481,0.94608,0.95913,0.7083,0.95461,0.3489,1.0437,1.735e-05,1.735e-05,1.735e-05
49,6322.03,0.75527,0.31299,0.96348,0.97733,0.94691,0.95979,0.71078,0.95207,0.3466,1.03978,1.24e-05,1.24e-05,1.24e-05
50,6443.81,0.75056,0.3111,0.95995,0.97691,0.94488,0.96001,0.7105,0.95159,0.3451,1.03806,7.45e-06,7.45e-06,7.45e-06
