epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,6074.13,0.7098,0.27331,0.96414,0.97474,0.94581,0.95477,0.69899,0.96325,0.33053,1.07805,5.2e-05,5.2e-05,5.2e-05
42,6214.66,0.69448,0.2683,0.95691,0.98158,0.93633,0.95477,0.69828,0.96549,0.33006,1.08735,4.705e-05,4.705e-05,4.705e-05
43,6358.35,0.68454,0.26374,0.94928,0.97756,0.94514,0.95461,0.69475,0.96584,0.33014,1.07911,4.21e-05,4.21e-05,4.21e-05
44,6499.8,0.67382,0.26137,0.945,0.97264,0.95097,0.9555,0.69723,0.96955,0.32943,1.08097,3.715e-05,3.715e-05,3.715e-05
45,6641.16,0.66506,0.259,0.93873,0.98335,0.93829,0.95359,0.69619,0.97053,0.32969,1.08364,3.22e-05,3.22e-05,3.22e-05
46,6782.32,0.65378,0.25514,0.93741,0.98219,0.94311,0.95523,0.69677,0.97284,0.32987,1.08906,2.725e-05,2.725e-05,2.725e-05
47,6925.02,0.64623,0.25265,0.93264,0.97715,0.94797,0.95512,0.69514,0.97738,0.33208,1.09084,2.23e-05,2.23e-05,2.23e-05
48,7066.55,0.63632,0.24977,0.92926,0.97756,0.94754,0.95423,0.69633,0.97967,0.33283,1.09469,1.735e-05,1.735e-05,1.735e-05
49,7208.14,0.63087,0.24719,0.92795,0.97891,0.94756,0.95475,0.69682,0.97974,0.33259,1.09335,1.24e-05,1.24e-05,1.24e-05
50,7349.13,0.62638,0.24623,0.92614,0.97814,0.94811,0.95509,0.69519,0.98171,0.3329,1.09579,7.45e-06,7.45e-06,7.45e-06
