epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.687,1.14632,1.57768,1.04794,0.79452,0.71983,0.78311,0.50899,1.13865,0.93842,1.07257,0.000553094,0.000553094,0.000553094
2,242.096,1.14217,0.796,1.03758,0.866,0.76322,0.86657,0.50608,1.17661,0.74206,1.06467,0.00108681,0.00108681,0.00108681
3,359.344,1.14253,0.75231,1.03462,0.65788,0.40106,0.3989,0.20918,1.91385,2.39204,1.99093,0.00159852,0.00159852,0.00159852
4,478.608,1.09836,0.72316,1.01756,0.8527,0.84265,0.87881,0.56704,1.09622,0.68865,1.03109,0.00156798,0.00156798,0.00156798
5,598.412,1.0768,0.67965,1.00883,0.91361,0.83146,0.88497,0.58545,1.08195,0.6296,1.02814,0.00153497,0.00153497,0.00153497
6,722.916,1.05192,0.64863,0.99404,0.93037,0.83022,0.90755,0.61077,1.07424,0.61612,1.02355,0.00150197,0.00150197,0.00150197
7,850.162,1.0325,0.62859,0.98621,0.90799,0.85928,0.91285,0.59898,1.03479,0.56547,0.9983,0.00146896,0.00146896,0.00146896
8,971.014,1.01414,0.60781,0.99116,0.94033,0.85595,0.90854,0.60808,1.00535,0.6052,0.98687,0.00143595,0.00143595,0.00143595
9,1090.68,1.00046,0.597,0.97981,0.91976,0.86973,0.91833,0.60798,1.02882,0.59412,1.00603,0.00140295,0.00140295,0.00140295
10,1211.19,0.99688,0.59156,0.97716,0.9107,0.88434,0.93006,0.62424,1.09697,0.57074,1.02776,0.00136994,0.00136994,0.00136994
11,1331.74,0.98488,0.57729,0.97092,0.89108,0.86642,0.90959,0.60143,1.01244,0.55415,0.99458,0.00133693,0.00133693,0.00133693
12,1451.63,0.9823,0.56049,0.97667,0.89164,0.88553,0.92338,0.6203,0.9669,0.5248,0.97116,0.00130393,0.00130393,0.00130393
13,1570.73,0.97132,0.54882,0.96474,0.95868,0.89021,0.93583,0.6332,0.99432,0.51715,0.98056,0.00127092,0.00127092,0.00127092
14,1693.73,0.9487,0.53847,0.95956,0.92889,0.92191,0.94715,0.62628,0.99375,0.50683,0.98085,0.00123791,0.00123791,0.00123791
15,1813.39,0.95578,0.53731,0.96282,0.95119,0.8993,0.95096,0.6444,0.98202,0.48729,0.9852,0.00120491,0.00120491,0.00120491
16,1934.97,0.92794,0.5181,0.95431,0.92133,0.89402,0.94108,0.64496,0.98386,0.47439,0.98163,0.0011719,0.0011719,0.0011719
17,2064.17,0.93103,0.52075,0.95235,0.90151,0.87686,0.91528,0.61838,0.97701,0.4944,0.97876,0.00113889,0.00113889,0.00113889
18,2188.11,0.92092,0.50813,0.94521,0.942,0.85676,0.93966,0.66205,0.97366,0.47822,0.97498,0.00110589,0.00110589,0.00110589
19,2311.66,0.90609,0.5,0.94571,0.95747,0.88499,0.94016,0.63052,0.97863,0.47993,0.97526,0.00107288,0.00107288,0.00107288
20,2440.79,0.8982,0.49835,0.94276,0.92167,0.88973,0.93906,0.67155,0.9481,0.45855,0.96655,0.00103987,0.00103987,0.00103987
21,2568.66,0.90263,0.49059,0.94023,0.9346,0.88426,0.93241,0.64325,0.96154,0.47431,0.97454,0.00100687,0.00100687,0.00100687
22,2692.3,0.88958,0.48988,0.93457,0.92058,0.87503,0.93981,0.6623,0.96235,0.47397,0.97147,0.000973861,0.000973861,0.000973861
23,2817.2,0.87967,0.47623,0.93831,0.93557,0.90637,0.94948,0.68474,0.93218,0.47309,0.96862,0.000940855,0.000940855,0.000940855
24,2940.77,0.87414,0.46474,0.93145,0.92003,0.9144,0.94732,0.67814,0.91991,0.45434,0.96404,0.000907848,0.000907848,0.000907848
25,3062.01,0.86633,0.45335,0.93663,0.93732,0.90082,0.93791,0.65442,0.96466,0.46829,0.97877,0.000874842,0.000874842,0.000874842
26,3182.62,0.86996,0.45342,0.93199,0.92294,0.90863,0.94596,0.68289,0.94204,0.43341,0.96001,0.000841835,0.000841835,0.000841835
27,3303.24,0.84772,0.44676,0.92818,0.89907,0.92201,0.94845,0.68618,0.92931,0.42148,0.9689,0.000808828,0.000808828,0.000808828
28,3427.75,0.85581,0.44326,0.92776,0.92327,0.92199,0.9434,0.68713,0.91095,0.43522,0.95623,0.000775822,0.000775822,0.000775822
29,3548.46,0.84632,0.43177,0.92327,0.94429,0.90217,0.94966,0.67425,0.92532,0.43019,0.95927,0.000742815,0.000742815,0.000742815
30,3669.51,0.83846,0.43437,0.91774,0.926,0.91526,0.94006,0.69051,0.91729,0.42675,0.96058,0.000709809,0.000709809,0.000709809
31,3795.91,0.83637,0.4365,0.91942,0.91915,0.91256,0.93471,0.67689,0.9403,0.45403,0.96648,0.000676802,0.000676802,0.000676802
32,3917.29,0.82052,0.42422,0.91605,0.94587,0.89823,0.94425,0.68101,0.93657,0.43821,0.96084,0.000643795,0.000643795,0.000643795
33,4035.17,0.82139,0.4227,0.91837,0.93539,0.91139,0.94986,0.69261,0.89986,0.42308,0.9501,0.000610789,0.000610789,0.000610789
34,4160.83,0.81962,0.4181,0.91967,0.92836,0.9135,0.946,0.68387,0.92634,0.41739,0.95726,0.000577782,0.000577782,0.000577782
35,4283.37,0.81337,0.41725,0.9158,0.94193,0.89195,0.94378,0.69205,0.89995,0.41894,0.95106,0.000544776,0.000544776,0.000544776
36,4404.61,0.7941,0.40774,0.91218,0.92335,0.91566,0.94284,0.67536,0.92497,0.41986,0.96688,0.000511769,0.000511769,0.000511769
