epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3613.72,0.80291,0.42029,0.91527,0.95776,0.9176,0.9504,0.6874,0.84342,0.42151,0.91268,0.000990365,0.000990365,0.000990365
43,3697.93,0.80964,0.42394,0.91427,0.96181,0.90235,0.94898,0.69047,0.85224,0.42112,0.90813,0.000973861,0.000973861,0.000973861
44,3784.08,0.79856,0.41618,0.9158,0.94231,0.9056,0.94041,0.68749,0.83681,0.42636,0.91283,0.000957358,0.000957358,0.000957358
45,3871.44,0.80013,0.41724,0.91661,0.94275,0.88541,0.94006,0.68619,0.84749,0.41475,0.91787,0.000940855,0.000940855,0.000940855
46,3956.78,0.80176,0.41376,0.91023,0.94118,0.92633,0.9518,0.69427,0.84435,0.40328,0.91742,0.000924352,0.000924352,0.000924352
47,4040.41,0.79055,0.40841,0.90768,0.94981,0.90124,0.95519,0.68715,0.83848,0.4045,0.90857,0.000907848,0.000907848,0.000907848
48,4123.62,0.78423,0.4052,0.91044,0.93185,0.91902,0.94371,0.69378,0.82298,0.39945,0.9054,0.000891345,0.000891345,0.000891345
49,4208.08,0.79104,0.40497,0.90868,0.92851,0.9146,0.95341,0.68507,0.84348,0.40186,0.90656,0.000874842,0.000874842,0.000874842
50,4292.16,0.78041,0.40593,0.90752,0.94266,0.91711,0.95452,0.68164,0.85037,0.41967,0.9096,0.000858338,0.000858338,0.000858338
51,4376.42,0.78096,0.40308,0.9132,0.91948,0.91638,0.9518,0.68697,0.84184,0.40819,0.90661,0.000841835,0.000841835,0.000841835
52,4459.75,0.77622,0.3972,0.90696,0.94163,0.89985,0.94873,0.69465,0.8316,0.40854,0.9036,0.000825332,0.000825332,0.000825332
53,4546.92,0.77611,0.39219,0.90904,0.94277,0.91793,0.95654,0.70341,0.82197,0.3988,0.90061,0.000808828,0.000808828,0.000808828
54,4635.13,0.77993,0.39928,0.90544,0.93628,0.90093,0.9415,0.70162,0.81,0.4029,0.89697,0.000792325,0.000792325,0.000792325
55,4718.77,0.77008,0.38787,0.90402,0.92579,0.90803,0.95465,0.69661,0.80787,0.38492,0.89388,0.000775822,0.000775822,0.000775822
56,4804.56,0.76025,0.39424,0.90276,0.9299,0.92025,0.95499,0.69812,0.82364,0.39012,0.89762,0.000759318,0.000759318,0.000759318
