epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.946,1.16774,1.12327,1.18078,0.65095,0.51768,0.59032,0.39147,1.18824,1.21215,1.18058,0.00166269,0.00166269,0.0684089
2,338.268,1.1311,0.83409,1.18542,0.85378,0.73466,0.84666,0.59346,1.03986,0.63251,1.1831,0.0033261,0.0033261,0.036739
3,489.238,1.0901,0.74564,1.17644,0.87486,0.83828,0.89181,0.60976,1.08383,0.61454,1.24673,0.00497652,0.00497652,0.00505608
4,642.13,1.07578,0.70204,1.16814,0.9133,0.88454,0.92194,0.66214,1.00392,0.50846,1.16036,0.00495616,0.00495616,0.00495616
5,802.377,1.05242,0.66138,1.15671,0.91747,0.92007,0.94243,0.66633,1.02344,0.48448,1.20516,0.00492224,0.00492224,0.00492224
6,957.329,1.04546,0.63727,1.15145,0.86896,0.88631,0.92583,0.64617,1.04729,0.51725,1.15652,0.00487886,0.00487886,0.00487886
7,1111.08,1.03285,0.61525,1.14644,0.92325,0.90103,0.9397,0.67335,0.99429,0.46172,1.16163,0.0048262,0.0048262,0.0048262
8,1265.11,1.02026,0.59982,1.14231,0.92156,0.9291,0.94727,0.68053,0.98786,0.44335,1.16622,0.00476445,0.00476445,0.00476445
9,1416.54,1.00985,0.58384,1.13728,0.96235,0.92957,0.94859,0.67455,1.02156,0.44608,1.19334,0.00469386,0.00469386,0.00469386
10,1567.52,1.01338,0.57521,1.13711,0.90817,0.92032,0.93519,0.67112,0.98399,0.44605,1.14814,0.00461471,0.00461471,0.00461471
11,1717.35,0.99701,0.56407,1.12451,0.93493,0.92217,0.95101,0.691,0.97154,0.4031,1.16489,0.00452732,0.00452732,0.00452732
12,1869.86,0.99763,0.55871,1.13149,0.94172,0.93642,0.94946,0.68963,0.97359,0.41035,1.14562,0.00443202,0.00443202,0.00443202
13,2023.04,0.98565,0.54724,1.12218,0.95436,0.93306,0.95169,0.69856,0.96115,0.4154,1.13226,0.0043292,0.0043292,0.0043292
14,2177.1,0.98041,0.53966,1.12337,0.96671,0.93249,0.95084,0.67667,1.04863,0.41908,1.17057,0.00421925,0.00421925,0.00421925
15,2330.05,0.97574,0.52963,1.1215,0.97166,0.94121,0.95191,0.69512,0.96944,0.38879,1.15859,0.00410262,0.00410262,0.00410262
16,2482.48,0.97493,0.52682,1.11208,0.97593,0.93744,0.95271,0.69563,0.96034,0.38593,1.14537,0.00397977,0.00397977,0.00397977
